"id","crawl_name","crawl_url","abr_name","abn","fuzzy_score","llm_score","final_score","match_method","state","postcode","start_date","is_verified","verified_by","verified_at","created_at"
"50","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Estate Media Pty Ltd","51101629047","0.7857",NULL,"0.7857","fuzzy","VIC","3127","2017-08-18",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"51","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Estate Action PTY LTD","11148192134","0.7586",NULL,"0.7586","fuzzy","VIC","3429","2020-06-12",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"52","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Australian Real Estate Assets Pty Ltd","51131600603","0.7586",NULL,"0.7586","fuzzy","QLD","4217","2013-10-23",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"53","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Meta PTY LTD","15673427828","0.8000",NULL,"0.8000","fuzzy","NSW","2009","2023-12-05",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"54","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Estate Holdings Australia PTY LTD","47158261459","1.0000",NULL,"1.0000","fuzzy","QLD","4217","2017-06-30",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"55","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Estate Ai PTY LTD","46685295283","0.8800",NULL,"0.8800","fuzzy","VIC","3300","2025-03-13",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"56","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Estate Hub PTY LTD","15673708024","0.8462",NULL,"0.8462","fuzzy","NSW","2209","2023-12-16",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"57","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Estate Australia Media PTY LTD","11607649767","0.7857",NULL,"0.7857","fuzzy","NSW","2171","2020-03-10",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"58","Real Estate Australia Real Estate Australia","http://www.real-estate-australia.com.au/DisplayPrintable.php?agents_id=4569&id=21437218&pr=yes","Real Easy Real Estate PTY LTD","15670233539","0.8636",NULL,"0.8636","fuzzy","VIC","3977","2023-08-03",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"59","Real Estate Australia Real Estate Australia","http://www.real-estate-australia.com.au/DisplayPrintable.php?agents_id=4569&id=21437218&pr=yes","Real Estate Research Institute Of Australia PTY LTD","15601572258","0.7547",NULL,"0.7547","fuzzy","NSW","2219","2014-09-01",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"60","S PTY LTD","https://abr.business.gov.au/AbnHistory/View?id=67311897700","S. Group PTY LTD","33625566618","1.0000",NULL,"1.0000","fuzzy","TAS","7250","2018-04-13",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"61","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westgarn Pty. LIMITED","38005680455","0.8000",NULL,"0.8000","fuzzy","VIC","3162","2017-08-28",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"62","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Western Veg PTY LTD","51603716490","0.7778",NULL,"0.7778","fuzzy","NSW","2530","2022-07-01",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"63","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Western Run PTY LTD","51164432419","0.7778",NULL,"0.7778","fuzzy","QLD","4455","2013-10-01",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"64","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","WestIron Pty Ltd","51112157427","0.8000",NULL,"0.8000","fuzzy","NSW","2000","2022-02-11",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"65","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westeros Services PTY LTD","42629455410","0.8000",NULL,"0.8000","fuzzy","WA","6010","2018-10-17",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"66","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westernesse PTY LTD","29636171045","0.7778",NULL,"0.7778","fuzzy","WA","6030","2021-05-21",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"67","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Western Services WA PTY LTD","29166228986","0.8235",NULL,"0.8235","fuzzy","WA","6056","2013-10-11",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"68","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westernex PTY LTD","25009378063","0.8750",NULL,"0.8750","fuzzy","WA","6090","2000-04-22",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"69","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westerncare PTY LTD","11601467761","0.7778",NULL,"0.7778","fuzzy","WA","6107","2014-08-26",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"70","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Western Australian Services PTY LIMITED","51123043390","1.0000",NULL,"1.0000","fuzzy","NSW","2011","2013-03-18",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"71","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Western Group Services PTY LTD","47097990639","1.0000",NULL,"1.0000","fuzzy","VIC","3038","2010-11-30",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"72","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westover Pty. Ltd.","43010928462","0.8000",NULL,"0.8000","fuzzy","QLD","4217","2000-06-11",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"73","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westkeen Pty. LIMITED","43006846073","0.8000",NULL,"0.8000","fuzzy","VIC","3810","2000-03-24",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"74","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westle Pty. LIMITED","29009589502","0.7692",NULL,"0.7692","fuzzy","NSW","2430","2000-02-21",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"75","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Western Fss PTY LTD","20641171502","0.7778",NULL,"0.7778","fuzzy","VIC","3029","2024-04-30",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"76","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westserv Pty Ltd","11142528667","0.8000",NULL,"0.8000","fuzzy","VIC","3049","2010-04-01",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"77","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westpiper PTY LTD","11082955182","0.7500",NULL,"0.7500","fuzzy","WA","6008","2015-04-28",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"78","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westerly Holdings PTY LTD","47009153333","0.8000",NULL,"0.8000","fuzzy","WA","6027","2004-12-31",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"79","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westover PTY LTD","25000342405","0.8000",NULL,"0.8000","fuzzy","NSW","2093","2003-08-23",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"81","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westel PTY LTD","25003386098","0.7692",NULL,"0.7692","fuzzy","NSW","2777","2000-04-14",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"82","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Westzen PTY LTD","16094281802","0.8571",NULL,"0.8571","fuzzy","WA","6104","2006-03-10",False,NULL,NULL,"2025-11-30 15:33:45.318909"
