"abn","canonical_name","trading_name","url","domain","industry","entity_type","entity_status","state","postcode","start_date","source","confidence_score","created_at","updated_at"
"29106942581","Asset Tag Pty. LIMITED","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","NSW","2533","2003-11-06","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"29166228986","Western Services WA PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","ACT","WA","6056","2013-10-11","MERGED","0.8235","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"29605315704","Contacto Pty. LIMITED","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","CAN","NSW","2085","2021-09-17","MERGED","0.9333","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"29636171045","Westernesse PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","WA","6030","2021-05-21","MERGED","0.7778","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"33625223529","Contah PTY LTD","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","ACT","NSW","2210","2018-03-26","MERGED","0.7692","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"33625566618","S. Group PTY LTD","S PTY LTD","https://abr.business.gov.au/AbnHistory/View?id=67311897700","abr.business.gov.au",NULL,"Australian Private Company","ACT","TAS","7250","2018-04-13","MERGED","1.0000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"33627702961","Contactable PTY LTD","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","CAN","QLD","4000","2025-06-25","MERGED","0.7778","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"34077972171","Northern Medical Administration PTY LTD","Northmont Financial Administration Services Pty Ltd","http://homeloanadvice.com.au/what_is_a_conventional_home_loan.asp","homeloanadvice.com.au",NULL,"Australian Private Company","CAN","VIC","3181","2003-03-31","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"34090690396","Commonhealth Australia PTY LTD","Commonwealth of Australia","https://ablis.business.gov.au/service/qld/plumbing-and-drainage-work-permit-barcoo-shire-council/44373","ablis.business.gov.au",NULL,"Australian Private Company","CAN","NSW","2000","2004-09-03","MERGED","0.9167","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"34112719507","Contal Pty Ltd","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","CAN","QLD","4006","2014-01-01","MERGED","0.7692","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"38005680455","Westgarn Pty. LIMITED","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","VIC","3162","2017-08-28","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"38158800447","Contrac Holdings PTY LTD","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","ACT","VIC","3000","2012-06-04","MERGED","0.8571","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"42159595534","Western Group PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","NSW","2170","2018-05-31","MERGED","1.0000","2025-11-30 15:18:24.27204","2025-12-01 19:35:11.425813"
"42629455410","Westeros Services PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","ACT","WA","6010","2018-10-17","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"42642100276","Asset Path PTY LTD","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","NSW","2068","2020-07-01","MERGED","0.7500","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"42645228593","Real Estate 'R' Us PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","QLD","4814","2020-10-19","MERGED","0.8148","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"42658839493","Real Estate One PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","NSW","2067","2022-04-18","MERGED","0.8462","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"43002018813","Conta PTY LTD","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","CAN","NSW","2450","2000-07-01","MERGED","0.8333","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"43006846073","Westkeen Pty. LIMITED","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","ACT","VIC","3810","2000-03-24","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"43010928462","Westover Pty. Ltd.","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","ACT","QLD","4217","2000-06-11","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"46643990505","Garden Of Hemp PTY LTD","The Gardens Henry","http://merchantsofultimo.com.au/about/","merchantsofultimo.com.au",NULL,"Australian Private Company","ACT","NSW","2200","2020-09-01","MERGED","0.7500","2025-11-30 15:18:24.27204","2025-12-01 19:35:11.425813"
"46655650007","Real Estate Unity PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","QLD","4215","2022-11-27","MERGED","0.7857","2025-11-30 15:18:24.27204","2025-12-01 19:35:11.425813"
"46657534515","Contracta Group Holdings PTY LTD","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","ACT","NSW","2041","2022-03-24","MERGED","0.8750","2025-11-30 15:18:24.27204","2025-12-01 19:35:11.425813"
"46685295283","Real Estate Ai PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","VIC","3300","2025-03-13","MERGED","0.8800","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47001966203","Quality Time Australia PTY LTD","Quality West Australia","http://westpork.com.au/lifecycle","westpork.com.au",NULL,"Australian Private Company","CAN","TAS","7310","2001-12-31","MERGED","0.7500","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47009153333","Westerly Holdings PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","WA","6027","2004-12-31","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47085698068","Entity Two PTY LTD","Entity type Australia","https://abr.business.gov.au/AbnHistory/View?id=34634633757","abr.business.gov.au",NULL,"Australian Private Company","CAN","SA","5081","2014-12-15","MERGED","0.7619","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47097990639","Western Group Services PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","VIC","3038","2010-11-30","MERGED","1.0000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47100806442","Contac (Australia) PTY LTD","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","CAN","NSW","2000","2004-05-30","MERGED","0.9231","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47112707847","Contactpro PTY LTD","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","ACT","VIC","3198","2005-01-31","MERGED","0.8235","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47135050823","ASSETID Pty Ltd","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","NSW","2775","2010-06-22","MERGED","0.7692","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"47158261459","Real Estate Holdings Australia PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","QLD","4217","2017-06-30","MERGED","1.0000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51101629047","Real Estate Media Pty Ltd","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","VIC","3127","2017-08-18","MERGED","0.7857","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51105061390","By Group Pty. Ltd.","By Australia","https://ael.org.au/olympic-esports-to-shine-in-saudi-arabia-in-2025-a-new-era-for-competitive-gaming-and-youre-here-for-it/","ael.org.au",NULL,"Australian Private Company","CAN","NSW","2135","2008-06-30","MERGED","1.0000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51112157427","WestIron Pty Ltd","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","NSW","2000","2022-02-11","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51114730808","Board Pro Pty. Ltd.","Boardroom Pty Ltd","http://futuregeninvest.com.au/2023/02/13/2fold-episode-5-wendy-mccarthy/","futuregeninvest.com.au",NULL,"Australian Private Company","ACT","VIC","3810","2005-06-14","MERGED","0.7778","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51123043390","Western Australian Services PTY LIMITED","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","NSW","2011","2013-03-18","MERGED","1.0000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51128793251","Contracting Services PTY LIMITED","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","CAN","TAS","7170","2014-12-12","MERGED","0.7778","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51131600603","Australian Real Estate Assets Pty Ltd","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","QLD","4217","2013-10-23","MERGED","0.7586","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51154441442","Real Estate Hd PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","QLD","4155","2017-08-23","MERGED","0.8800","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51164432419","Western Run PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","ACT","QLD","4455","2013-10-01","MERGED","0.7778","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51603716490","Western Veg PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","NSW","2530","2022-07-01","MERGED","0.7778","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51605489218","Contact Iq Pty. Ltd.","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","50spluslifestyle.com.au",NULL,"Australian Private Company","CAN","VIC","3193","2017-11-07","MERGED","0.8235","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51649251472","Quality Treats PTY LTD","Quality West Australia","http://westpork.com.au/lifecycle","westpork.com.au",NULL,"Australian Private Company","ACT","NSW","2478","2021-04-06","MERGED","0.7692","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"51687414633","Quality Rides PTY LTD","Quality West Australia","http://westpork.com.au/lifecycle","westpork.com.au",NULL,"Australian Private Company","CAN","VIC","3138","2025-06-30","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
